　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　荒蛮故事　　　　　　　　	   8.8    	  150902  	始于荒诞，止于更荒诞。
　　　　　　　　魂断蓝桥　　　　　　　　	   8.8    	  135173  	中国式内在的美国电影。
　　　　　　　　二十二　　　　　　　　　	   8.8    	  104815  	有一些东西不应该被遗忘。
　　　　　　　　猜火车　　　　　　　　　	   8.5    	  258763  	不可猜的青春迷笛。 
　　　　　　穿越时空的少女　　　　　　　	   8.6    	  194119  	爱上未来的你。 　　
　　　　　　　玩具总动员3　　　　　　　	   8.8    	  201117  	跨度十五年的欢乐与泪水。
　　　　　　　　花样年华　　　　　　　　	   8.5    	  260006  	偷情本没有这样美。　
　　　　　　　　雨中曲　　　　　　　　　	   9.0    	  97189   	骨灰级歌舞片。　　　
　　　　　　　　心迷宫　　　　　　　　　	   8.6    	  181305  	荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
　　　　　　　唐伯虎点秋香　　　　　　　	   8.4    	  350144  	华太师是黄霑，吴镇宇四大才子之一。
　　　　　　　时空恋旅人　　　　　　　　	   8.6    	  213556  	把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
　　　　　　　超能陆战队　　　　　　　　	   8.6    	  391369  	Balalala~~~
　　　　　　　　我是山姆　　　　　　　　	   8.8    	  109890  	爱并不需要智商 。　
　　　　　蝙蝠侠：黑暗骑士崛起　　　　　	   8.6    	  308863  	诺兰就是保证。　　　
　　　　　　　　人工智能　　　　　　　　	   8.6    	  199075  	对爱的执着，可以超越一切。
　　　　　　　　　浪潮　　　　　　　　　	   8.7    	  138730  	世界离独裁只有五天。
　　　　　　　　冰川时代　　　　　　　　	   8.4    	  284701  	松鼠才是角儿。　　　
　　　　　　　　　香水　　　　　　　　　	   8.4    	  288590  	一个单凭体香达到高潮的男人。
　　　　　　　　朗读者　　　　　　　　　	   8.5    	  287979  	当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
　　　　　　　　罗生门　　　　　　　　　	   8.7    	  131666  	人生的N种可能性。　
　　　　　　　　爆裂鼓手　　　　　　　　	   8.6    	  250392  	这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
　　　　　　　　　追随　　　　　　　　　	   8.9    	  85506   	诺兰的牛逼来源于内心散发出的恐惧。
　　　　　请以你的名字呼唤我　　　　　　	   8.8    	  171008  	沉醉在电影的情感和视听氛围中无法自拔。
　　　　　　　　一次别离　　　　　　　　	   8.7    	  138184  	只有有信仰的人才能说出事实真相。
　　　　　　　　　撞车　　　　　　　　　	   8.6    	  180705  	天使与魔鬼的冲撞。　
　　　　　　　未麻的部屋　　　　　　　　	   8.8    	  103744  	好的剧本是，就算你猜到了结局也猜不到全部。
　　　　　　　　可可西里　　　　　　　　	   8.7    	  134870  	坚硬的信仰。　　　　
　　　　　　　血战钢锯岭　　　　　　　　	   8.7    	  333036  	优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
　　　　　　　　战争之王　　　　　　　　	   8.5    	  181720  	做一颗让别人需要你的棋子。
　　　　　　　　恐怖游轮　　　　　　　　	   8.3    	  342222  	不要企图在重复中寻找已经失去的爱。
　　　　　　　地球上的星星　　　　　　　	   8.8    	  89508   	天使保护事件始末。　
　　　　　　　梦之安魂曲　　　　　　　　	   8.7    	  116253  	一场没有春天的噩梦。
　　　　　　达拉斯买家俱乐部　　　　　　	   8.7    	  176372  	Jared Leto的腿比女人还美！
　　　　　　　被解救的姜戈　　　　　　　	   8.6    	  270179  	热血沸腾，那个低俗、性感的无耻混蛋又来了。
　　　　　　　　阿飞正传　　　　　　　　	   8.5    	  191723  	王家卫是一种风格，张国荣是一个代表。
　　　　　牯岭街少年杀人事件　　　　　　	   8.7    	  111849  	弱者送给弱者的一刀。
　　　　　　　　谍影重重　　　　　　　　	   8.5    	  199765  	哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
　　　　　　　谍影重重2　　　　　　　　	   8.5    	  165863  	谁说王家卫镜头很晃？
　　　　　　　魔女宅急便　　　　　　　　	   8.5    	  203867  	宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
　　　　　　　头脑特工队　　　　　　　　	   8.7    	  239084  	愿我们都不用长大，每一座城堡都能永远存在。
　　　　　　　　碧海蓝天　　　　　　　　	   8.7    	  110354  	在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
　　　　　　　忠犬八公物语　　　　　　　	   9.0    	  63095   	养狗三日，便会对你终其一生。
　　　　　　　　惊魂记　　　　　　　　　	   8.9    	  87082   	故事的反转与反转，分裂电影的始祖。
　　　　　　　　　房间　　　　　　　　　	   8.8    	  163533  	被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
　　　　　再次出发之纽约遇见你　　　　　	   8.5    	  178457  	爱我就给我看你的播放列表。
　　　　　　　　　青蛇　　　　　　　　　	   8.4    	  230831  	人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
　　　　　　　秒速5厘米　　　　　　　　	   8.3    	  311217  	青春就是放弃和怀念。
　　　　　　　　东京物语　　　　　　　　	   9.2    	  53211   	东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
　　　　　　　　哪吒闹海　　　　　　　　	   8.9    	  84227   	想你时你在闹海。　　
　　　　　　　　海盗电台　　　　　　　　	   8.6    	  169444  	生命不止，摇滚不死。
　　　　　　　　末路狂花　　　　　　　　	   8.7    	  109036  	没有了退路，只好飞向自由。
　　　　　　　　绿里奇迹　　　　　　　　	   8.7    	  110671  	天使暂时离开。　　　
　　　　　　终结者2：审判日　　　　　　	   8.6    	  146557  	少见的超越首部的续集，动作片中的经典。
　　　　　　　　源代码　　　　　　　　　	   8.3    	  422969  	邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
　　　　　　　　模仿游戏　　　　　　　　	   8.6    	  266154  	他给机器起名“克里斯托弗”，因为这是他初恋的名字。
　　　　　　　勇闯夺命岛　　　　　　　　	   8.5    	  146690  	类型片的极致。 　　
　　　　　　　新龙门客栈　　　　　　　　	   8.5    	  191319  	嬉笑怒骂，调风动月。
　　　　　黑客帝国3：矩阵革命　　　　　	   8.5    	  162277  	不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
　　　　　　这个男人来自地球　　　　　　	   8.5    	  189009  	科幻真正的魅力不是视觉效果能取代的。 
　　　　　　　卡萨布兰卡　　　　　　　　	   8.6    	  128923  	世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
　　　　一个叫欧维的男人决定去死　　　　	   8.7    	  124916  	惠及一生的美丽。　　
　　　　　　小萝莉的猴神大叔　　　　　　	   8.6    	  148361  	无　　　　　　　　　
